OTU	Size	Taxonomy	taxname	phylum
Otu7602	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);	Otu7602_Pasteurellaceae_unclassified	Proteobacteria
Otu7615	1	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseriaceae_unclassified(100);	Otu7615_Neisseriaceae_unclassified	Proteobacteria
Otu7616	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);	Otu7616_Enterobacteriaceae_unclassified	Proteobacteria
Otu7617	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);	Otu7617_Pasteurellaceae_unclassified	Proteobacteria
Otu7625	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Intestinibacter(100);	Otu7625_Intestinibacter	Firmicutes
Otu7629	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);	Otu7629_Gammaproteobacteria_unclassified	Proteobacteria
Otu7632	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu7632_Lachnospiraceae_unclassified	Firmicutes
Otu7633	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Aerococcaceae(100);Abiotrophia(100);	Otu7633_Abiotrophia	Firmicutes
Otu7637	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu7637_Blautia	Firmicutes
Otu7638	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);Gammaproteobacteria_unclassified(100);	Otu7638_Gammaproteobacteria_unclassified	Proteobacteria
Otu7639	1	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);	Otu7639_Lactobacillales_unclassified	Firmicutes
Otu7643	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);	Otu7643_Pasteurellaceae_unclassified	Proteobacteria
Otu7648	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(100);	Otu7648_Haemophilus	Proteobacteria
Otu7655	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Stomatobaculum(100);	Otu7655_Stomatobaculum	Firmicutes
Otu7665	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu7665_Ruminococcaceae_unclassified	Firmicutes
Otu7671	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu7671_Ruminococcaceae_unclassified	Firmicutes
Otu7674	1	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu7674_Blautia	Firmicutes
Otu7685	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);	Otu7685_Enterobacteriaceae_unclassified	Proteobacteria
Otu7692	1	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Chromatiales(100);Chromatiaceae(100);Rheinheimera(100);	Otu7692_Rheinheimera	Proteobacteria
